Name;Release Date;Price
Journey of a Roach;04.11.2013;6.99
The Last Tinker: City of Colors;12.05.2014;9.99
Gomo;06.12.2013;4.99
Munin;10.06.2014;4.99
Randal's Monday;12.11.2014;12.09
Blackguards 2;20.01.2015;1.99
Decay: The Mare;13.02.2015;4.99
Anna's Quest;02.07.2015;12.09
Dead Synchronicity: Tomorrow Comes Today;10.04.2015;9.99
Cultures - Northland;26.03.2015;4.99
Cultures - 8th Wonder of the World;26.03.2015;4.99
SKYHILL;06.10.2015;12.09
Zanzarah: The Hidden Portal;20.08.2015;7.99
Daedalic - Gigantic Bundle;17.11.2015;12.09
Fran Bow;27.08.2015;14.99
Planet Centauri;03.06.2016;13.99
TERA;31.01.2017;0.00
Besiege;28.01.2015;7.99
SimCity 4 Deluxe Edition;20.07.2010;9.99
Groove Coaster;17.07.2018;16.79
Verdant Skies;12.02.2018;12.59
Another Brick in the Mall;03.11.2016;12.99
Bastion;16.08.2011;12.49
Shakes and Fidget;25.02.2016;0.00
Shakes and Fidget Remastered;22.11.2018;0.00
I am Bread;09.04.2015;12.99
Riders of Icarus;06.07.2016;0.00
Mist Survival;15.08.2018;8.99
Tree of Savior;28.03.2016;0.00
Creeper World 3: Arc Eternal;27.03.2014;14.99
Stronghold Crusader HD;21.10.2013;7.99
The Secret of Monkey Island: Special Edition;15.07.2009;8.19
Monkey Island 2 Special Edition: LeChuck's Revenge;07.07.2010;8.19
Ultrawings;20.07.2017;12.49
PAYDAY 2;13.08.2013;9.99
Coming Out on Top;13.10.2017;12.49
Thumper;10.10.2016;5.99
Happy Room;19.12.2016;4.99
WARSHIFT;13.10.2016;12.99
APB Reloaded;07.12.2011;0.00
Door Kickers: Action Squad;10.09.2018;11.99
Ski Region Simulator - Gold Edition;31.01.2014;8.99
Rome: Total War - Collection;28.08.2007;7.99
Rome: Total War - Alexander;28.08.2007;3.99
Rome: Total War Collection;22.09.2004;10.99
Kingdom: New Lands;09.08.2016;14.99
Aura Kingdom;01.07.2014;0.00
Bloons TD 5;19.11.2014;9.99
Quiplash;30.06.2015;9.99
Gems of War - Puzzle RPG;20.11.2014;0.00
Aim Hero;05.09.2016;4.99
Rise to Ruins;27.10.2014;9.99
The Binding of Isaac;28.09.2011;4.99
Trine 3: The Artifacts of Power;20.08.2015;5.49
Cities XXL;05.02.2015;9.99
Touhou: Scarlet Curiosity;11.07.2018;8.99
Space Pirates and Zombies;15.08.2011;9.99
Tom Clancy's Splinter Cell Chaos Theory;27.08.2009;9.99
Fallout Tactics: Brotherhood of Steel;19.08.2009;9.99
Crossout;27.07.2017;0.00
18 Wheels of Steel: Across America;26.08.2016;9.99
Digimon Masters Online;03.11.2016;0.00
Secret Files 2: Puritas Cordis;29.10.2009;9.99
Portal 2;19.04.2011;8.19
Niffelheim;26.09.2018;8.39
Poly Bridge;12.07.2016;8.19
Bridge Constructor Medieval;15.09.2014;9.99
Anno 1800;27.02.2019;59.99
Bridge Constructor Portal;20.12.2017;9.99
Bit Heroes;13.12.2017;0.00
Counter-Strike: Source;01.11.2004;8.19
Company of Heroes 2;25.06.2013;19.99
BattleRush: Ardennes Assault;10.01.2019;3.59
Human Resource Machine;15.10.2015;8.99
Sniper: Ghost Warrior 2;12.03.2013;2.84
Sniper: Ghost Warrior;24.06.2010;2.84
Sniper Art of Victory;31.01.2014;0.59
Sniper: Ghost Warrior Trilogy;31.01.2014;2.84
The Curse of Monkey Island;22.03.2018;5.69
PlanetSide 2;20.11.2012;0.00
Escape from Monkey Island;17.11.2018;5.69
Black Squad;28.07.2017;0.00
Blacksmith;11.01.2019;7.99
STAR WARS Jedi Knight - Jedi Academy;16.09.2009;8.19
Road Redemption;04.10.2017;7.55
Catan Universe;25.04.2017;0.00
Cities: Skylines;10.03.2015;27.99
The Witcher: Enhanced Edition Director's Cut;16.09.2008;7.99
Roadclub: League Racing;08.01.2019;8.19
MapleStory;09.08.2012;0.00
Sekiro: Shadows Die Twice;22.03.2019;59.99
Twilight Path;02.10.2018;9.37
SoulWorker;26.02.2018;0.00
Battlerite Royale;26.09.2018;19.99
Parkitect;29.11.2018;24.99
Fishing Planet;28.08.2017;0.00
Exiled Kingdoms;23.02.2018;7.99
Metro Exodus;15.02.2019;59.99
The Bug Butcher;19.01.2016;7.99
Cliff Empire;26.04.2018;6.99
Yakuza 0;01.08.2018;19.99
Total War Saga: THRONES OF BRITANNIA;03.05.2018;39.99
EVE Online;16.12.2010;0.00
Conan Exiles;08.05.2018;39.99
Hero Siege;29.01.2014;5.99
The Long Dark;01.08.2017;24.99
Tomb Raider VI: The Angel of Darkness;28.11.2012;6.99
Age of Civilizations II;21.11.2018;4.99
Kingdom: Classic;21.10.2015;4.99
Closers;06.02.2018;0.00
Call of Cthulhu;30.10.2018;44.99
Prehistorik 2;28.11.2017;6.99
Dungeons 3;13.10.2017;44.99
Universe Sandbox 2;25.08.2015;20.99
Sword Art Online: Hollow Realization Deluxe Edition;27.10.2017;49.99
Lords Of The Fallen;28.10.2014;4.49
BallisticNG;15.12.2018;6.59
Bus Driver Simulator 2019;31.01.2018;6.59
Plants vs. Zombies GOTY Edition;05.05.2009;4.99
Ostalgie: The Berlin Wall;25.03.2018;3.84
Who's Your Daddy;13.05.2016;4.99
BattleRush 2;18.10.2018;3.99
Slay the Spire;15.11.2017;15.99
Survarium;02.04.2015;0.00
Higurashi When They Cry Hou - Ch.1 Onikakushi;16.05.2015;5.99
Star Trek Timelines;12.07.2017;0.00
Melody's Escape;20.05.2016;3.05
Reigns;11.08.2016;2.99
Sudden Strike 3;22.05.2017;5.99
A Front Too Far: Normandy;20.12.2018;5.99
The Eternal Castle;05.01.2019;5.99
POSTAL 2;02.11.2012;9.99
Jagged Alliance 2 - Wildfire;16.11.2012;6.99
Crusaders of Light;08.03.2018;0.00
Depth;03.11.2014;19.99
Crash Wheels;20.12.2018;4.99
Total War: WARHAMMER;24.05.2016;59.99
The Lord of the Rings Online;06.06.2012;0.00
Meadow Fun!!;07.01.2019;5.12
Fernbus Simulator;25.08.2016;29.95
Microsoft Flight Simulator X: Steam Edition;18.12.2014;24.99
Graveyard Keeper;15.08.2018;16.79
Hearts of Iron IV;06.06.2016;39.99
Car Mechanic Simulator 2018;28.07.2017;19.99
Hotline Miami 2: Wrong Number;10.03.2015;3.74
Trine 2: Complete Story;07.12.2011;2.54
FORM;01.06.2017;6.24
Spooky Bonus;15.10.2015;4.99
Toilet Tycoon;17.09.2015;4.99
New York Taxi Simulator;04.03.2016;4.99
Monsters' Den: Book of Dread;19.07.2016;4.99
Hand Simulator;19.07.2017;1.99
Five Nights at Freddy's;19.08.2014;4.99
Hotline Miami;23.10.2012;2.12
Cursed Treasure 2;21.07.2017;4.99
DOOM II;04.08.2007;4.99
Rayman Raving Rabbids;13.06.2008;4.99
DiRT Rally;07.12.2015;34.99
Star Wolves 3: Civil War;03.03.2010;4.99
Chicken Invaders 5;13.03.2015;4.99
Dead Cells;06.08.2018;24.99
Call of Duty: Black Ops II;13.11.2012;59.99
Elite Dangerous;02.04.2015;24.99
Outlast;04.09.2013;19.99
Tropico 5;23.05.2014;19.99
Tropico 6;29.03.2019;44.99
Niplheim's Hunter - Branded Azel;07.01.2019;12.25
Call of Duty: Black Ops III;06.11.2015;59.99
Stronghold HD;21.10.2013;3.99
Kingdom Come: Deliverance;13.02.2018;49.99
Creeper World: Anniversary Edition;16.11.2016;4.99
Realm Grinder;15.06.2017;0.00
Bloons TD Battles;20.04.2016;0.00
Rusty Lake Paradise;11.01.2018;3.99
Borderlands 2 Game of the Year;11.10.2013;44.99
Warhammer 40,000: Mechanicus;15.11.2018;29.99
DC Universe Online;02.11.2011;0.00
GUNS UP!;05.02.2018;0.00
Cuphead;29.09.2017;19.99
DRAGON QUEST XI: Echoes of an Elusive Age - Digital Edition of Light;04.09.2018;59.99
Gang Beasts;12.12.2017;19.99
Runes of Magic;29.08.2018;0.00
Star Wolves;03.03.2010;3.99
Sonic Mania;29.08.2017;19.99
Gold Rush: The Game;13.10.2017;19.99
Darksiders III;27.11.2018;59.99
Dream Hills: Captured Magic;07.11.2017;3.99
X4: Foundations;30.11.2018;49.99
Ni no Kuni II: Revenant Kingdom;23.03.2018;59.99
Paintball Chibis;27.12.2018;3.99
Creeper World 2: Anniversary Edition;16.11.2016;4.99
The Elder Scrolls V: Skyrim Special Edition;28.10.2016;39.99
Job Simulator;05.04.2016;19.99
FlatOut 4: Total Insanity;04.04.2017;4.19
Shadwen;17.05.2016;4.24
Gloria Victis;09.06.2016;19.99
Dogfight 1942;21.09.2012;1.49
Shadowverse CCG;28.10.2016;0.00
Crisis in the Kremlin;20.03.2017;1.99
Desperados: Wanted Dead or Alive;20.11.2013;1.24
Desperados 2: Cooper's Revenge;12.03.2008;2.49
Marvel Puzzle Quest;05.12.2013;0.00
Prison Architect;06.10.2015;24.99
DiRT Rally 2.0;26.02.2019;54.99
Calm Down, Stalin;08.09.2016;3.29
Hollow Knight;24.02.2017;14.99
Warhammer 40,000: Dawn of War - Game of the Year Edition;07.08.2007;12.99
Warhammer 40,000: Dawn of War - Winter Assault;07.08.2007;12.99
Warhammer 40,000: Dawn of War - Soulstorm;05.03.2008;12.99
RIFT;01.03.2011;0.00
